Norm,Metric,Distance,Env,mean_episode_rewards,val_mean_episode_rewards,run
l1_norm,l1_dist,1.6334482431411743,Train,10,-10.0,Crafted Misgeneraliser
l1_norm,l2_dist,3.3901004791259766,Train,10,-10.0,Crafted Misgeneraliser
l2_norm,l1_dist,0.8732560873031616,Train,10,-10.0,Crafted Misgeneraliser
l2_norm,l2_dist,1.3282673358917236,Train,10,-10.0,Crafted Misgeneraliser
linf_norm,l1_dist,0.20923087000846863,Train,10,-10.0,Crafted Misgeneraliser
linf_norm,l2_dist,0.26377028226852417,Train,10,-10.0,Crafted Misgeneraliser
l1_norm,l1_dist,1.5077626705169678,Valid,10,-10.0,Crafted Misgeneraliser
l1_norm,l2_dist,2.2570743560791016,Valid,10,-10.0,Crafted Misgeneraliser
l2_norm,l1_dist,1.146996021270752,Valid,10,-10.0,Crafted Misgeneraliser
l2_norm,l2_dist,1.749492883682251,Valid,10,-10.0,Crafted Misgeneraliser
linf_norm,l1_dist,0.18280789256095886,Valid,10,-10.0,Crafted Misgeneraliser
linf_norm,l2_dist,0.29256322979927063,Valid,10,-10.0,Crafted Misgeneraliser
l1_norm,l1_dist,1.6334482431411743,Train,10,10.0,Crafted Generaliser
l1_norm,l2_dist,3.3901004791259766,Train,10,10.0,Crafted Generaliser
l2_norm,l1_dist,0.8732560873031616,Train,10,10.0,Crafted Generaliser
l2_norm,l2_dist,1.3282673358917236,Train,10,10.0,Crafted Generaliser
linf_norm,l1_dist,0.20923087000846863,Train,10,10.0,Crafted Generaliser
linf_norm,l2_dist,0.26377028226852417,Train,10,10.0,Crafted Generaliser
l1_norm,l1_dist,0.8799917697906494,Valid,10,10.0,Crafted Generaliser
l1_norm,l2_dist,1.4967756271362305,Valid,10,10.0,Crafted Generaliser
l2_norm,l1_dist,0.6848864555358887,Valid,10,10.0,Crafted Generaliser
l2_norm,l2_dist,1.122349739074707,Valid,10,10.0,Crafted Generaliser
linf_norm,l1_dist,0.23546984791755676,Valid,10,10.0,Crafted Generaliser
linf_norm,l2_dist,0.34245842695236206,Valid,10,10.0,Crafted Generaliser
l1_norm,l1_dist,1.1838027238845825,Train,10,10.0,decent-spaceship-1173
l1_norm,l2_dist,2.772189140319824,Train,10,10.0,decent-spaceship-1173
l2_norm,l1_dist,0.7728209495544434,Train,10,10.0,decent-spaceship-1173
l2_norm,l2_dist,1.245451807975769,Train,10,10.0,decent-spaceship-1173
linf_norm,l1_dist,0.4795171022415161,Train,10,10.0,decent-spaceship-1173
linf_norm,l2_dist,0.6727803349494934,Train,10,10.0,decent-spaceship-1173
l1_norm,l1_dist,1.4419268369674683,Valid,10,10.0,decent-spaceship-1173
l1_norm,l2_dist,2.0827865600585938,Valid,10,10.0,decent-spaceship-1173
l2_norm,l1_dist,0.917247474193573,Valid,10,10.0,decent-spaceship-1173
l2_norm,l2_dist,1.3306834697723389,Valid,10,10.0,decent-spaceship-1173
linf_norm,l1_dist,0.202787384390831,Valid,10,10.0,decent-spaceship-1173
linf_norm,l2_dist,0.30162355303764343,Valid,10,10.0,decent-spaceship-1173
l1_norm,l1_dist,1.183741569519043,Train,10,10.0,northern-waterfall-1174
l1_norm,l2_dist,2.7721662521362305,Train,10,10.0,northern-waterfall-1174
l2_norm,l1_dist,0.7728092074394226,Train,10,10.0,northern-waterfall-1174
